LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PR
1201959.102878,1201959.102878,1760631888.826412,84979.545,11294,11,PR,1,100,112301
1201959.112514,1201959.112515,1760631888.836048,84989.182,11294,11,PR,1,100,112321
1201959.122151,1201959.122151,1760631888.845685,84998.818,11294,11,PR,1,100,112306
1201959.131787,1201959.131787,1760631888.855321,85008.455,11294,11,PR,1,100,112331
1201959.141423,1201959.141424,1760631888.864957,85018.091,11294,11,PR,1,100,112305
1201959.151060,1201959.151060,1760631888.874593,85027.727,11294,11,PR,1,100,112314
1201959.160696,1201959.160696,1760631888.884230,85037.364,11294,11,PR,1,100,112323
1201959.170332,1201959.170333,1760631888.893866,85047.000,11294,11,PR,1,100,112351
1201959.181032,1201959.181032,1760631888.904566,85057.700,11310,10,PR,1,100,112332
1201959.191732,1201959.191732,1760631888.915266,85068.400,11310,10,PR,1,100,112322
1201959.202432,1201959.202432,1760631888.925966,85079.100,11310,10,PR,1,100,112309
1201959.213132,1201959.213132,1760631888.936666,85089.800,11310,10,PR,1,100,112291
1201959.223832,1201959.223832,1760631888.947366,85100.500,11310,10,PR,1,100,112334
1201959.234532,1201959.234532,1760631888.958066,85111.200,11310,10,PR,1,100,112300
1201959.245232,1201959.245232,1760631888.968766,85121.900,11310,10,PR,1,100,112347
1201959.255932,1201959.255932,1760631888.979466,85132.600,11310,10,PR,1,100,112320
1201959.266632,1201959.266632,1760631888.990166,85143.300,11310,10,PR,1,100,112315
1201959.277332,1201959.277332,1760631889.000866,85154.000,11310,10,PR,1,100,112312
1201959.286732,1201959.286732,1760631889.010266,85163.400,11324,10,PR,1,100,112340
1201959.296132,1201959.296132,1760631889.019666,85172.800,11324,10,PR,1,100,112342
1201959.305532,1201959.305532,1760631889.029066,85182.200,11324,10,PR,1,100,112325
1201959.314931,1201959.314932,1760631889.038465,85191.600,11324,10,PR,1,100,112324
1201959.324331,1201959.324332,1760631889.047866,85201.000,11324,10,PR,1,100,112336
1201959.333731,1201959.333732,1760631889.057266,85210.400,11324,10,PR,1,100,112318
1201959.343131,1201959.343132,1760631889.066665,85219.800,11324,10,PR,1,100,112300
1201959.352531,1201959.352532,1760631889.076066,85229.200,11324,10,PR,1,100,112306
1201959.361931,1201959.361932,1760631889.085465,85238.600,11324,10,PR,1,100,112309
1201959.371331,1201959.371332,1760631889.094865,85248.000,11324,10,PR,1,100,112338
1201959.381931,1201959.381931,1760631889.105465,85258.600,11341,10,PR,1,100,112317
1201959.392531,1201959.392531,1760631889.116065,85269.200,11341,10,PR,1,100,112301
1201959.403131,1201959.403131,1760631889.126665,85279.800,11341,10,PR,1,100,112344
1201959.413731,1201959.413731,1760631889.137265,85290.400,11341,10,PR,1,100,112329
1201959.424331,1201959.424331,1760631889.147865,85301.000,11341,10,PR,1,100,112319
1201959.434931,1201959.434931,1760631889.158465,85311.600,11341,10,PR,1,100,112294
1201959.445531,1201959.445531,1760631889.169065,85322.200,11341,10,PR,1,100,112285
1201959.456131,1201959.456131,1760631889.179665,85332.800,11341,10,PR,1,100,112293
1201959.466731,1201959.466731,1760631889.190265,85343.400,11341,10,PR,1,100,112286
1201959.477331,1201959.477331,1760631889.200865,85354.000,11341,10,PR,1,100,112276
1201959.487058,1201959.487058,1760631889.210592,85363.727,11356,11,PR,1,100,112293
1201959.496785,1201959.496785,1760631889.220320,85373.455,11356,11,PR,1,100,112322
1201959.506512,1201959.506513,1760631889.230047,85383.182,11356,11,PR,1,100,112322
