LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,AY
1032509.581997,1032509.581999,1760462439.394871,121701.000,17028,3,AY,1,100,0.073
1032509.621998,1032509.622000,1760462439.434871,121741.000,17044,2,AY,1,100,0.077
1032509.661998,1032509.662000,1760462439.474872,121781.000,17044,2,AY,1,100,0.071
1032509.701999,1032509.702001,1760462439.514873,121821.000,17059,3,AY,1,100,0.075
1032509.742000,1032509.742002,1760462439.554873,121861.000,17059,3,AY,1,100,0.068
1032509.782000,1032509.782002,1760462439.594874,121901.000,17059,3,AY,1,100,0.075
1032509.829001,1032509.829003,1760462439.641875,121948.000,17076,2,AY,1,100,0.076
1032509.876002,1032509.876003,1760462439.688875,121995.000,17076,2,AY,1,100,0.073
1032509.916002,1032509.916004,1760462439.728876,122035.000,17093,3,AY,1,100,0.079
1032509.956003,1032509.956005,1760462439.768877,122075.000,17093,3,AY,1,100,0.076
1032509.996003,1032509.996005,1760462439.808878,122115.000,17093,3,AY,1,100,0.073
1032510.036004,1032510.036006,1760462439.848878,122155.000,17110,2,AY,1,100,0.071
1032510.076005,1032510.076006,1760462439.888879,122195.000,17110,2,AY,1,100,0.071
1032510.116005,1032510.116007,1760462439.928880,122235.000,17125,3,AY,1,100,0.070
1032510.156006,1032510.156008,1760462439.968880,122275.000,17125,3,AY,1,100,0.071
1032510.196006,1032510.196008,1760462440.008881,122315.000,17125,3,AY,1,100,0.067
1032510.236007,1032510.236009,1760462440.048882,122355.000,17142,2,AY,1,100,0.064
1032510.276007,1032510.276009,1760462440.088882,122395.000,17142,2,AY,1,100,0.073
1032510.315675,1032510.315677,1760462440.128550,122434.667,17157,3,AY,1,100,0.078
1032510.355342,1032510.355344,1760462440.168217,122474.333,17157,3,AY,1,100,0.070
1032510.395009,1032510.395011,1760462440.207884,122514.000,17157,3,AY,1,100,0.076
1032510.435010,1032510.435012,1760462440.247885,122554.000,17172,2,AY,1,100,0.075
1032510.475010,1032510.475012,1760462440.287886,122594.000,17172,2,AY,1,100,0.070
1032510.515011,1032510.515013,1760462440.327886,122634.000,17188,3,AY,1,100,0.078
1032510.555012,1032510.555013,1760462440.367887,122674.000,17188,3,AY,1,100,0.077
1032510.595012,1032510.595014,1760462440.407888,122714.000,17188,3,AY,1,100,0.071
1032510.635013,1032510.635015,1760462440.447889,122754.000,17206,2,AY,1,100,0.082
1032510.675013,1032510.675015,1760462440.487889,122794.000,17206,2,AY,1,100,0.071
1032510.715014,1032510.715016,1760462440.527890,122834.000,17221,3,AY,1,100,0.076
1032510.755015,1032510.755016,1760462440.567891,122874.000,17221,3,AY,1,100,0.075
1032510.795015,1032510.795017,1760462440.607891,122914.000,17221,3,AY,1,100,0.079
1032510.835016,1032510.835017,1760462440.647892,122954.000,17237,3,AY,1,100,0.076
1032510.875016,1032510.875018,1760462440.687893,122994.000,17237,3,AY,1,100,0.075
1032510.915017,1032510.915019,1760462440.727893,123034.000,17237,3,AY,1,100,0.076
1032510.962018,1032510.962019,1760462440.774894,123081.000,17252,2,AY,1,100,0.077
1032511.009018,1032511.009020,1760462440.821895,123128.000,17252,2,AY,1,100,0.078
1032511.049019,1032511.049021,1760462440.861896,123168.000,17268,2,AY,1,100,0.073
1032511.089019,1032511.089021,1760462440.901896,123208.000,17268,2,AY,1,100,0.075
1032511.129020,1032511.129022,1760462440.941897,123248.000,17286,3,AY,1,100,0.077
1032511.169021,1032511.169022,1760462440.981898,123288.000,17286,3,AY,1,100,0.076
1032511.209021,1032511.209023,1760462441.021898,123328.000,17286,3,AY,1,100,0.077
1032511.249022,1032511.249024,1760462441.061899,123368.000,17301,2,AY,1,100,0.079
1032511.289022,1032511.289024,1760462441.101900,123408.000,17301,2,AY,1,100,0.073
1032511.329023,1032511.329025,1760462441.141900,123448.000,17316,3,AY,1,100,0.078
1032511.369024,1032511.369025,1760462441.181901,123488.000,17316,3,AY,1,100,0.075
1032511.409024,1032511.409026,1760462441.221902,123528.000,17316,3,AY,1,100,0.076
1032511.449025,1032511.449026,1760462441.261902,123568.000,17332,2,AY,1,100,0.075
1032511.489025,1032511.489027,1760462441.301903,123608.000,17332,2,AY,1,100,0.076
1032511.529026,1032511.529028,1760462441.341904,123648.000,17348,3,AY,1,100,0.074
1032511.569026,1032511.569028,1760462441.381904,123688.000,17348,3,AY,1,100,0.077
1032511.609027,1032511.609029,1760462441.421905,123728.000,17348,3,AY,1,100,0.076
1032511.649028,1032511.649029,1760462441.461906,123768.000,17363,2,AY,1,100,0.075
1032511.689028,1032511.689030,1760462441.501906,123808.000,17363,2,AY,1,100,0.079
1032511.729029,1032511.729031,1760462441.541907,123848.000,17380,3,AY,1,100,0.077
1032511.769029,1032511.769031,1760462441.581908,123888.000,17380,3,AY,1,100,0.072
1032511.809030,1032511.809032,1760462441.621909,123928.000,17380,3,AY,1,100,0.073
1032511.849031,1032511.849032,1760462441.661909,123968.000,17399,3,AY,1,100,0.076
1032511.889031,1032511.889033,1760462441.701910,124008.000,17399,3,AY,1,100,0.071
1032511.929032,1032511.929034,1760462441.741911,124048.000,17399,3,AY,1,100,0.078
1032511.969032,1032511.969034,1760462441.781911,124088.000,17414,2,AY,1,100,0.077
1032512.009033,1032512.009035,1760462441.821912,124128.000,17414,2,AY,1,100,0.071
1032512.049034,1032512.049035,1760462441.861913,124168.000,17430,2,AY,1,100,0.077
1032512.089034,1032512.089036,1760462441.901913,124208.000,17430,2,AY,1,100,0.072
1032512.133368,1032512.133370,1760462441.946247,124252.333,17445,3,AY,1,100,0.073
1032512.177702,1032512.177704,1760462441.990582,124296.667,17445,3,AY,1,100,0.079
1032512.222036,1032512.222038,1760462442.034916,124341.000,17445,3,AY,1,100,0.073
1032512.262037,1032512.262038,1760462442.074916,124381.000,17461,2,AY,1,100,0.077
1032512.302037,1032512.302039,1760462442.114917,124421.000,17461,2,AY,1,100,0.074
1032512.342038,1032512.342040,1760462442.154918,124461.000,17476,3,AY,1,100,0.072
1032512.382038,1032512.382040,1760462442.194918,124501.000,17476,3,AY,1,100,0.073
