LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EL
1032571.401906,1032571.401904,1760462501.214926,183520.000,26805,1,EL,1,100,-12540.000000
1032571.468907,1032571.468905,1760462501.281927,183587.000,26821,2,EL,1,100,-12540.599609
1032571.535908,1032571.535906,1760462501.348928,183654.000,26821,2,EL,1,100,-12541.000000
1032571.601909,1032571.601907,1760462501.414929,183720.000,26836,1,EL,1,100,-12540.799805
1032571.668910,1032571.668908,1760462501.481931,183787.000,26852,2,EL,1,100,-12540.799805
1032571.735911,1032571.735909,1760462501.548932,183854.000,26852,2,EL,1,100,-12541.400391
1032571.801912,1032571.801910,1760462501.614933,183920.000,26867,1,EL,1,100,-12541.000000
1032571.868913,1032571.868910,1760462501.681934,183987.000,26883,2,EL,1,100,-12540.000000
1032571.935914,1032571.935911,1760462501.748935,184054.000,26883,2,EL,1,100,-12540.200195
1032572.001915,1032572.001912,1760462501.814936,184120.000,26900,1,EL,1,100,-12540.400391
1032572.068916,1032572.068913,1760462501.881938,184187.000,26916,2,EL,1,100,-12540.599609
1032572.135917,1032572.135914,1760462501.948939,184254.000,26916,2,EL,1,100,-12540.200195
1032572.201918,1032572.201915,1760462502.014940,184320.000,26932,1,EL,1,100,-12540.000000
1032572.268919,1032572.268916,1760462502.081941,184387.000,26947,2,EL,1,100,-12540.000000
1032572.335920,1032572.335917,1760462502.148942,184454.000,26947,2,EL,1,100,-12539.799805
1032572.401920,1032572.401918,1760462502.214943,184520.000,26964,1,EL,1,100,-12540.000000
1032572.468921,1032572.468919,1760462502.281944,184587.000,26981,2,EL,1,100,-12540.599609
1032572.535922,1032572.535920,1760462502.348945,184654.000,26981,2,EL,1,100,-12541.200195
1032572.601923,1032572.601921,1760462502.414947,184720.000,26996,1,EL,1,100,-12542.000000
1032572.668924,1032572.668922,1760462502.481948,184787.000,27011,2,EL,1,100,-12541.000000
1032572.735925,1032572.735923,1760462502.548949,184854.000,27011,2,EL,1,100,-12542.200195
1032572.801926,1032572.801924,1760462502.614950,184920.000,27026,1,EL,1,100,-12543.000000
1032572.868927,1032572.868925,1760462502.681951,184987.000,27043,2,EL,1,100,-12542.599609
1032572.935928,1032572.935926,1760462502.748952,185054.000,27043,2,EL,1,100,-12542.400391
1032573.001929,1032573.001927,1760462502.814953,185120.000,27060,1,EL,1,100,-12543.200195
1032573.068430,1032573.068428,1760462502.881454,185186.500,27075,2,EL,1,100,-12543.000000
1032573.134931,1032573.134929,1760462502.947956,185253.000,27075,2,EL,1,100,-12541.799805
1032573.201932,1032573.201930,1760462503.014957,185320.000,27091,1,EL,1,100,-12540.400391
1032573.268433,1032573.268431,1760462503.081458,185386.500,27107,2,EL,1,100,-12541.400391
1032573.334934,1032573.334932,1760462503.147959,185453.000,27107,2,EL,1,100,-12542.000000
1032573.401935,1032573.401933,1760462503.214960,185520.000,27122,1,EL,1,100,-12541.599609
1032573.468436,1032573.468434,1760462503.281461,185586.500,27141,2,EL,1,100,-12541.000000
1032573.534937,1032573.534935,1760462503.347963,185653.000,27141,2,EL,1,100,-12540.200195
1032573.601938,1032573.601936,1760462503.414964,185720.000,27155,1,EL,1,100,-12539.200195
1032573.668439,1032573.668437,1760462503.481465,185786.500,27171,2,EL,1,100,-12540.000000
1032573.734940,1032573.734938,1760462503.547966,185853.000,27171,2,EL,1,100,-12539.200195
1032573.801941,1032573.801939,1760462503.614967,185920.000,27187,2,EL,1,100,-12539.000000
1032573.868942,1032573.868940,1760462503.681968,185987.000,27187,2,EL,1,100,-12538.599609
