LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032549.608252,1032549.608251,1760462479.421221,161726.667,23365,9,PG,1,100,6043
1032549.618586,1032549.618585,1760462479.431554,161737.000,23365,9,PG,1,100,6054
1032549.628313,1032549.628312,1760462479.441282,161746.727,23382,11,PG,1,100,6079
1032549.638040,1032549.638040,1760462479.451009,161756.455,23382,11,PG,1,100,6066
1032549.647768,1032549.647767,1760462479.460737,161766.182,23382,11,PG,1,100,6054
1032549.657495,1032549.657495,1760462479.470464,161775.909,23382,11,PG,1,100,6045
1032549.667223,1032549.667222,1760462479.480191,161785.636,23382,11,PG,1,100,6059
1032549.676950,1032549.676949,1760462479.489919,161795.364,23382,11,PG,1,100,6064
1032549.686678,1032549.686677,1760462479.499646,161805.091,23382,11,PG,1,100,6052
1032549.696405,1032549.696404,1760462479.509374,161814.818,23382,11,PG,1,100,6039
1032549.706132,1032549.706132,1760462479.519101,161824.545,23382,11,PG,1,100,6037
1032549.715860,1032549.715859,1760462479.528829,161834.273,23382,11,PG,1,100,6087
1032549.725587,1032549.725587,1760462479.538556,161844.000,23382,11,PG,1,100,6052
1032549.736287,1032549.736287,1760462479.549256,161854.700,23398,10,PG,1,100,6080
1032549.746988,1032549.746987,1760462479.559956,161865.400,23398,10,PG,1,100,6044
1032549.757688,1032549.757687,1760462479.570657,161876.100,23398,10,PG,1,100,6048
1032549.768388,1032549.768387,1760462479.581357,161886.800,23398,10,PG,1,100,6051
1032549.779088,1032549.779087,1760462479.592057,161897.500,23398,10,PG,1,100,6050
1032549.789788,1032549.789787,1760462479.602757,161908.200,23398,10,PG,1,100,6040
1032549.800488,1032549.800488,1760462479.613457,161918.900,23398,10,PG,1,100,6012
1032549.811188,1032549.811188,1760462479.624157,161929.600,23398,10,PG,1,100,6058
1032549.821889,1032549.821888,1760462479.634858,161940.300,23398,10,PG,1,100,6020
1032549.832589,1032549.832588,1760462479.645558,161951.000,23398,10,PG,1,100,6009
1032549.841889,1032549.841888,1760462479.654858,161960.300,23413,10,PG,1,100,5987
1032549.851189,1032549.851188,1760462479.664158,161969.600,23413,10,PG,1,100,6012
1032549.860489,1032549.860488,1760462479.673458,161978.900,23413,10,PG,1,100,5999
1032549.869789,1032549.869789,1760462479.682758,161988.200,23413,10,PG,1,100,5971
1032549.879089,1032549.879089,1760462479.692059,161997.500,23413,10,PG,1,100,5986
1032549.888390,1032549.888389,1760462479.701359,162006.800,23413,10,PG,1,100,6001
1032549.897690,1032549.897689,1760462479.710659,162016.100,23413,10,PG,1,100,5999
1032549.906990,1032549.906989,1760462479.719959,162025.400,23413,10,PG,1,100,6010
1032549.916290,1032549.916289,1760462479.729259,162034.700,23413,10,PG,1,100,5978
1032549.925590,1032549.925589,1760462479.738559,162044.000,23413,10,PG,1,100,5986
1032549.936190,1032549.936190,1760462479.749160,162054.600,23433,10,PG,1,100,5995
1032549.946790,1032549.946790,1760462479.759760,162065.200,23433,10,PG,1,100,6003
1032549.957391,1032549.957390,1760462479.770360,162075.800,23433,10,PG,1,100,5986
1032549.967991,1032549.967990,1760462479.780960,162086.400,23433,10,PG,1,100,5994
1032549.978591,1032549.978590,1760462479.791560,162097.000,23433,10,PG,1,100,6007
1032549.989191,1032549.989190,1760462479.802161,162107.600,23433,10,PG,1,100,5995
1032549.999791,1032549.999791,1760462479.812761,162118.200,23433,10,PG,1,100,5991
1032550.010391,1032550.010391,1760462479.823361,162128.800,23433,10,PG,1,100,6010
1032550.020992,1032550.020991,1760462479.833961,162139.400,23433,10,PG,1,100,6006
1032550.031592,1032550.031591,1760462479.844561,162150.000,23433,10,PG,1,100,6001
1032550.040992,1032550.040991,1760462479.853961,162159.400,23448,10,PG,1,100,6034
1032550.050392,1032550.050391,1760462479.863362,162168.800,23448,10,PG,1,100,6012
1032550.059792,1032550.059791,1760462479.872762,162178.200,23448,10,PG,1,100,6008
1032550.069192,1032550.069192,1760462479.882162,162187.600,23448,10,PG,1,100,6039
1032550.078592,1032550.078592,1760462479.891562,162197.000,23448,10,PG,1,100,5996
1032550.087993,1032550.087992,1760462479.900962,162206.400,23448,10,PG,1,100,5996
1032550.097393,1032550.097392,1760462479.910362,162215.800,23448,10,PG,1,100,6002
1032550.106793,1032550.106792,1760462479.919762,162225.200,23448,10,PG,1,100,6005
1032550.116193,1032550.116192,1760462479.929163,162234.600,23448,10,PG,1,100,6017
1032550.125593,1032550.125592,1760462479.938563,162244.000,23448,10,PG,1,100,6020
1032550.136193,1032550.136193,1760462479.949163,162254.600,23465,10,PG,1,100,6011
1032550.146793,1032550.146793,1760462479.959763,162265.200,23465,10,PG,1,100,5995
1032550.157394,1032550.157393,1760462479.970363,162275.800,23465,10,PG,1,100,6021
1032550.167994,1032550.167993,1760462479.980963,162286.400,23465,10,PG,1,100,6018
1032550.178594,1032550.178593,1760462479.991564,162297.000,23465,10,PG,1,100,6006
1032550.189194,1032550.189193,1760462480.002164,162307.600,23465,10,PG,1,100,6015
1032550.199794,1032550.199793,1760462480.012764,162318.200,23465,10,PG,1,100,6026
1032550.210394,1032550.210394,1760462480.023364,162328.800,23465,10,PG,1,100,6007
1032550.220995,1032550.220994,1760462480.033964,162339.400,23465,10,PG,1,100,6013
1032550.231595,1032550.231594,1760462480.044565,162350.000,23465,10,PG,1,100,6021
1032550.241322,1032550.241321,1760462480.054292,162359.727,23479,11,PG,1,100,6012
1032550.251049,1032550.251049,1760462480.064019,162369.455,23479,11,PG,1,100,6011
1032550.260777,1032550.260776,1760462480.073747,162379.182,23479,11,PG,1,100,6027
1032550.270504,1032550.270504,1760462480.083474,162388.909,23479,11,PG,1,100,6033
1032550.280232,1032550.280231,1760462480.093202,162398.636,23479,11,PG,1,100,6017
1032550.289959,1032550.289958,1760462480.102929,162408.364,23479,11,PG,1,100,6031
1032550.299687,1032550.299686,1760462480.112657,162418.091,23479,11,PG,1,100,6026
1032550.309414,1032550.309413,1760462480.122384,162427.818,23479,11,PG,1,100,6004
1032550.319141,1032550.319141,1760462480.132112,162437.545,23479,11,PG,1,100,6031
1032550.328869,1032550.328868,1760462480.141839,162447.273,23479,11,PG,1,100,5999
1032550.338596,1032550.338595,1760462480.151567,162457.000,23479,11,PG,1,100,5975
1032550.348930,1032550.348929,1760462480.161900,162467.333,23495,9,PG,1,100,5980
1032550.359263,1032550.359262,1760462480.172233,162477.667,23495,9,PG,1,100,5993
