subject,ppg_stream,ppg_channel_1based,fs,segment,t_start,t_end,t_center,t_rel,window_s,step_s,bandpass,low_hz,high_hz,lle_1,lle_2
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63133.28948524849,63143.37918718941,63138.33433621895,35.349296530504944,10.0,1.0,True,0.5,8.0,-0.002032146489156967,-0.0021447620898373764
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63134.29946542275,63144.38916736367,63139.34431639321,36.35927670476667,10.0,1.0,True,0.5,8.0,0.00022188752871572237,-0.002633709090023839
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63135.30944559702,63145.39914753794,63140.35429656748,37.369256879035675,10.0,1.0,True,0.5,8.0,0.0010483240642554898,-0.0027154297596403403
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63136.31942577128,63146.4091277122,63141.36427674174,38.3792370532974,10.0,1.0,True,0.5,8.0,-5.947905715890191e-05,-0.00126348523713259
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63137.32940594555,63147.41910788647,63142.37425691601,39.389217227566405,10.0,1.0,True,0.5,8.0,-0.0016945084461362264,0.00231624316743607
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63138.33938611982,63148.42908806073,63143.38423709027,40.39919740182813,10.0,1.0,True,0.5,8.0,-0.004136581324749916,-0.00048183064392288413
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63139.34936629408,63149.439068235,63144.39421726454,41.409177576097136,10.0,1.0,True,0.5,8.0,-0.0026733041818900816,-0.005118512580018531
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63140.35934646835,63150.44904840926,63145.40419743881,42.41915775036614,10.0,1.0,True,0.5,8.0,0.0013305774763156671,-0.006319563680051666
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63141.36932664261,63151.45902858353,63146.41417761307,43.42913792462787,10.0,1.0,True,0.5,8.0,0.0017439658143768766,-0.0005828898799362108
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63142.37930681688,63152.4690087578,63147.42415778734,44.43911809889687,10.0,1.0,True,0.5,8.0,-0.0010887803014357545,0.000656366309455992
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63143.38928699114,63153.47898893206,63148.4341379616,45.4490982731586,10.0,1.0,True,0.5,8.0,-0.002253887490567499,-6.0891442066244386e-05
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63144.39926716541,63154.48896910633,63149.44411813587,46.4590784474276,10.0,1.0,True,0.5,8.0,-0.0033261838377555506,3.384679015725809e-05
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63145.409247339674,63155.49894928059,63150.45409831013,47.46905862168933,10.0,1.0,True,0.5,8.0,-0.002865342860300659,-0.002581245040546288
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63146.41922751394,63156.50892945486,63151.4640784844,48.47903879595833,10.0,1.0,True,0.5,8.0,-0.0006320867756275226,-0.0028535998376545435
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63147.42920768821,63157.51890962912,63152.47405865867,49.489018970227335,10.0,1.0,True,0.5,8.0,-0.0030508065094541795,-0.0022798942964447383
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63148.439187862474,63158.52888980339,63153.48403883293,50.49899914448906,10.0,1.0,True,0.5,8.0,-0.001751226429016646,0.00027739674258000927
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63149.44916803674,63159.53886997765,63154.494019007194,51.50897931875079,10.0,1.0,True,0.5,8.0,-0.004676873431100614,0.0007260873848918884
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63150.459148211005,63160.54885015192,63155.50399918146,52.51895949301979,10.0,1.0,True,0.5,8.0,-0.003612075004916518,-0.0012122843611374707
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63151.46912838527,63161.55883032619,63156.51397935573,53.5289396672888,10.0,1.0,True,0.5,8.0,-0.00316274267476303,-0.002394317190212192
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63152.479108559535,63162.56881050045,63157.52395952999,54.53891984155052,10.0,1.0,True,0.5,8.0,-0.0036433787310557334,-0.003256182746396466
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63153.48908873381,63163.57879067472,63158.53393970426,55.54890001581953,10.0,1.0,True,0.5,8.0,-0.0024846843800802026,-0.0018378365875297805
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63154.499068908066,63164.58877084898,63159.54391987853,56.558880190081254,10.0,1.0,True,0.5,8.0,-0.0023964647987711036,-0.0024464469856230998
EmotiBit_5,PPG_EmotiBit_5,1,99.01184452184796,med_1,63155.509049082335,63165.59875102325,63160.55390005279,57.56886036435026,10.0,1.0,True,0.5,8.0,-0.0034462143273929925,-0.0035549170973979893
