LslMarkerSourceTimestamp,EmotiBitTimestamp,PI,PG,PR
1032478.480722,90600.182,170506,5984,112623
1032478.490449,90609.909,170492,5969,112609
1032478.500177,90619.636,170492,5968,112607
1032478.509904,90629.364,170513,5965,112645
1032478.519632,90639.091,170555,5973,112651
1032478.529359,90648.818,170581,5970,112658
1032478.539087,90658.545,170642,5974,112684
1032478.548814,90668.273,170660,5933,112727
1032478.558541,90678.000,170716,5957,112754
1032478.568875,90688.333,170773,5996,112814
1032478.579208,90698.667,170816,6005,112867
1032478.589542,90709.000,170839,5977,112850
1032478.599875,90719.333,170881,5992,112918
1032478.610209,90729.667,170957,5996,112938
1032478.620542,90740.000,171023,6021,112971
1032478.630876,90750.333,171026,6011,112971
1032478.641209,90760.667,171061,5988,113015
1032478.651543,90771.000,171102,6016,113025
1032478.662243,90781.700,171140,5989,113045
1032478.672943,90792.400,171176,6032,113064
1032478.683643,90803.100,171187,5990,113061
1032478.694343,90813.800,171194,6008,113072
1032478.705043,90824.500,171215,6011,113102
1032478.715744,90835.200,171244,6011,113104
1032478.726444,90845.900,171261,6017,113087
1032478.737144,90856.600,171259,6004,113102
1032478.747844,90867.300,171284,6021,113083
1032478.758544,90878.000,171311,6007,113113
1032478.767844,90887.300,171268,5995,113087
1032478.777145,90896.600,171283,6008,113111
1032478.786445,90905.900,171305,6005,113121
1032478.795745,90915.200,171323,5980,113123
1032478.805045,90924.500,171321,5974,113150
1032478.814345,90933.800,171349,5974,113154
1032478.823645,90943.100,171360,5975,113188
1032478.832945,90952.400,171354,5971,113194
1032478.842246,90961.700,171383,5966,113229
1032478.851546,90971.000,171385,5962,113180
1032478.862246,90981.700,171373,5966,113211
1032478.872946,90992.400,171382,5986,113204
1032478.883646,91003.100,171399,5982,113240
1032478.894346,91013.800,171358,5954,113196
1032478.905046,91024.500,171378,5963,113219
1032478.915747,91035.200,171423,5943,113218
1032478.926447,91045.900,171442,5981,113251
1032478.937147,91056.600,171452,5988,113248
1032478.947847,91067.300,171452,5970,113239
1032478.958547,91078.000,171425,5965,113235
1032478.968184,91087.636,171470,5961,113285
1032478.97782,91097.273,171509,5985,113293
1032478.987457,91106.909,171506,5972,113285
1032478.997093,91116.545,171499,5969,113264
1032479.00673,91126.182,171540,5956,113310
1032479.016366,91135.818,171530,5999,113297
1032479.026003,91145.455,171539,5980,113309
1032479.035639,91155.091,171525,5976,113299
1032479.045276,91164.727,171523,5960,113288
1032479.054912,91174.364,171560,5982,113319
1032479.064549,91184.000,171569,5970,113291
1032479.074993,91194.444,171574,5979,113270
1032479.085438,91204.889,171506,5941,113238
1032479.095883,91215.333,171584,5970,113317
1032479.106327,91225.778,171570,5957,113302
1032479.116772,91236.222,171566,5997,113274
1032479.127216,91246.667,171578,5960,113285
1032479.137661,91257.111,171565,5970,113297
1032479.148106,91267.556,171622,5991,113314
1032479.15855,91278.000,171591,5977,113324
1032479.168187,91287.636,171604,5974,113280
1032479.177823,91297.273,171590,5969,113267
1032479.18746,91306.909,171587,5985,113298
1032479.197096,91316.545,171624,5976,113304
1032479.206733,91326.182,171620,5996,113276
1032479.216369,91335.818,171627,5977,113296
1032479.226006,91345.455,171628,5986,113341
1032479.235642,91355.091,171641,5979,113298
1032479.245279,91364.727,171669,6010,113287
1032479.254915,91374.364,171635,5990,113285
1032479.264552,91384.000,171662,5982,113286
1032479.275252,91394.700,171678,5982,113309
1032479.285952,91405.400,171710,5997,113339
1032479.296652,91416.100,171649,5974,113313
1032479.307352,91426.800,171712,6013,113340
1032479.318052,91437.500,171683,5993,113316
1032479.328753,91448.200,171700,6013,113317
1032479.339453,91458.900,171676,5980,113294
1032479.350153,91469.600,171633,5981,113277
1032479.360853,91480.300,171642,5990,113301
1032479.371553,91491.000,171602,5979,113281
1032479.380853,91500.300,171582,5974,113299
1032479.390154,91509.600,171568,5968,113237
1032479.399454,91518.900,171541,5957,113263
1032479.408754,91528.200,171538,5969,113257
1032479.418054,91537.500,171514,5947,113217
1032479.427354,91546.800,171496,5941,113257
1032479.436654,91556.100,171512,5944,113242
1032479.445954,91565.400,171497,5929,113246
1032479.455255,91574.700,171510,5965,113256
1032479.464555,91584.000,171492,5957,113222
1032479.475255,91594.700,171491,5924,113236
1032479.485955,91605.400,171469,5960,113230
1032479.496655,91616.100,171458,5975,113235
1032479.507355,91626.800,171478,5947,113189
1032479.518055,91637.500,171490,5959,113220
1032479.528756,91648.200,171477,5944,113189
1032479.539456,91658.900,171512,5962,113240
1032479.550156,91669.600,171517,5975,113246
1032479.560856,91680.300,171485,5933,113209
1032479.571556,91691.000,171515,5956,113216
1032479.58189,91701.333,171488,5945,113251
1032479.592223,91711.667,171536,5987,113255
1032479.602557,91722.000,171495,5954,113210
1032479.61289,91732.333,171519,5946,113224
1032479.623224,91742.667,171531,5944,113219
1032479.633557,91753.000,171520,5957,113249
1032479.643891,91763.333,171530,5979,113220
1032479.654224,91773.667,171524,5956,113234
1032479.664558,91784.000,171496,5938,113212
1032479.674285,91793.727,171495,5970,113242
1032479.684012,91803.455,171537,5970,113228
1032479.69374,91813.182,171529,5971,113222
1032479.703467,91822.909,171521,5960,113213
1032479.713195,91832.636,171537,5977,113247
1032479.722922,91842.364,171530,5977,113226
1032479.73265,91852.091,171553,5965,113242
1032479.742377,91861.818,171528,5991,113220
1032479.752104,91871.545,171519,5946,113217
1032479.761832,91881.273,171575,5979,113269
1032479.771559,91891.000,171560,5966,113233
1032479.781893,91901.333,171578,5988,113224
1032479.792226,91911.667,171545,5972,113208
1032479.80256,91922.000,171571,6000,113231
1032479.812893,91932.333,171573,5976,113234
1032479.823227,91942.667,171532,5974,113239
1032479.83356,91953.000,171549,5965,113234
1032479.843894,91963.333,171569,5985,113245
1032479.854227,91973.667,171593,5992,113239
1032479.864561,91984.000,171600,6003,113261
1032479.874288,91993.727,171559,5971,113238
1032479.884015,92003.455,171604,5978,113249
1032479.893743,92013.182,171582,6011,113244
1032479.90347,92022.909,171588,6000,113241
1032479.913198,92032.636,171574,5997,113215
1032479.922925,92042.364,171559,6000,113226
1032479.932652,92052.091,171583,6014,113242
1032479.94238,92061.818,171574,5991,113259
1032479.952107,92071.545,171518,5997,113231
1032479.961835,92081.273,171513,5972,113202
1032479.971562,92091.000,171508,5956,113202
1032479.982162,92101.600,171498,5984,113216
1032479.992762,92112.200,171465,6007,113219
1032480.003363,92122.800,171472,5968,113201
1032480.013963,92133.400,171440,5982,113199
