LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GZ
1759437228.221335,156331.000,22303,2,GZ,1,100,-0.153
1759437228.261670,156371.333,22321,3,GZ,1,100,-0.061
1759437228.302004,156411.667,22321,3,GZ,1,100,-0.153
1759437228.342338,156452.000,22321,3,GZ,1,100,-0.092
1759437228.381839,156491.500,22336,2,GZ,1,100,0.000
1759437228.421340,156531.000,22336,2,GZ,1,100,0.000
1759437228.461674,156571.333,22353,3,GZ,1,100,-0.061
1759437228.502008,156611.667,22353,3,GZ,1,100,-0.061
1759437228.542342,156652.000,22353,3,GZ,1,100,-0.122
1759437228.581843,156691.500,22367,2,GZ,1,100,-0.214
1759437228.621344,156731.000,22367,2,GZ,1,100,-0.305
1759437228.666011,156775.667,22383,3,GZ,1,100,-0.214
1759437228.710679,156820.333,22383,3,GZ,1,100,-0.183
1759437228.755346,156865.000,22383,3,GZ,1,100,-0.122
1759437228.795347,156905.000,22398,2,GZ,1,100,-0.122
1759437228.835348,156945.000,22398,2,GZ,1,100,-0.183
1759437228.875349,156985.000,22417,3,GZ,1,100,-0.153
1759437228.915350,157025.000,22417,3,GZ,1,100,-0.122
1759437228.955350,157065.000,22417,3,GZ,1,100,-0.183
1759437228.995351,157105.000,22431,2,GZ,1,100,-0.214
1759437229.035352,157145.000,22431,2,GZ,1,100,-0.214
1759437229.075353,157185.000,22447,3,GZ,1,100,-0.244
1759437229.115354,157225.000,22447,3,GZ,1,100,-0.153
1759437229.155354,157265.000,22447,3,GZ,1,100,-0.183
1759437229.195355,157305.000,22464,3,GZ,1,100,-0.153
1759437229.235356,157345.000,22464,3,GZ,1,100,-0.122
1759437229.275357,157385.000,22464,3,GZ,1,100,-0.153
1759437229.315358,157425.000,22480,3,GZ,1,100,-0.153
1759437229.355359,157465.000,22480,3,GZ,1,100,-0.061
1759437229.395360,157505.000,22480,3,GZ,1,100,-0.092
1759437229.435360,157545.000,22495,3,GZ,1,100,-0.183
1759437229.475361,157585.000,22495,3,GZ,1,100,-0.092
1759437229.515362,157625.000,22495,3,GZ,1,100,-0.061
1759437229.555363,157665.000,22512,2,GZ,1,100,-0.092
1759437229.595364,157705.000,22512,2,GZ,1,100,-0.183
1759437229.635364,157745.000,22526,2,GZ,1,100,-0.092
1759437229.675365,157785.000,22526,2,GZ,1,100,-0.214
1759437229.720033,157829.667,22542,3,GZ,1,100,-0.122
1759437229.764700,157874.333,22542,3,GZ,1,100,-0.153
1759437229.809368,157919.000,22542,3,GZ,1,100,-0.183
1759437229.849369,157959.000,22558,2,GZ,1,100,-0.092
1759437229.889369,157999.000,22558,2,GZ,1,100,-0.122
1759437229.929370,158039.000,22574,3,GZ,1,100,-0.153
