LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,SF
1759437303.601874,231710.000,34025,1,SF,1,100,66.2137
1759437303.868880,231977.000,34072,1,SF,1,100,65.4478
1759437304.201887,232310.000,34120,1,SF,1,100,64.6907
1759437304.601895,232710.000,34182,1,SF,1,100,63.9423
1759437304.867900,232976.000,34232,1,SF,1,100,65.2849
1759437305.201907,233310.000,34280,1,SF,1,100,66.6119
1759437305.534914,233643.000,34327,1,SF,1,100,65.8413
1759437305.934922,234043.000,34391,1,SF,1,100,67.1619
1759437306.201927,234310.000,34438,1,SF,1,100,66.3850
1759437306.534934,234643.000,34487,1,SF,1,100,67.6993
1759437306.934942,235043.000,34549,1,SF,1,100,66.9162
1759437307.201948,235310.000,34597,1,SF,1,100,68.2243
1759437307.534955,235643.000,34647,1,SF,1,100,69.5174
1759437307.867961,235976.000,34693,1,SF,1,100,68.7132
1759437308.267970,236376.000,34757,1,SF,1,100,70.0005
1759437308.534975,236643.000,34804,1,SF,1,100,69.1908
