LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,EA
1032514.583089,1032514.583087,1760462444.395970,125387.000,17398,2,EA,1,100,0.132865
1032514.650094,1032514.650092,1760462444.462976,125454.000,17416,1,EA,1,100,0.132865
1032514.716599,1032514.716597,1760462444.529481,125520.500,17431,2,EA,1,100,0.132865
1032514.783104,1032514.783102,1760462444.595986,125587.000,17431,2,EA,1,100,0.132865
1032514.850109,1032514.850107,1760462444.662991,125654.000,17451,1,EA,1,100,0.132863
1032514.916614,1032514.916612,1760462444.729496,125720.500,17466,2,EA,1,100,0.132865
1032514.983119,1032514.983117,1760462444.796001,125787.000,17466,2,EA,1,100,0.132878
1032515.050124,1032515.050122,1760462444.863007,125854.000,17481,2,EA,1,100,0.132924
1032515.117129,1032515.117127,1760462444.930012,125921.000,17481,2,EA,1,100,0.132939
1032515.183134,1032515.183132,1760462444.996017,125987.000,17499,1,EA,1,100,0.132911
1032515.250139,1032515.250137,1760462445.063022,126054.000,17515,2,EA,1,100,0.132873
1032515.317144,1032515.317142,1760462445.130027,126121.000,17515,2,EA,1,100,0.132863
1032515.383149,1032515.383147,1760462445.196032,126187.000,17530,1,EA,1,100,0.132853
1032515.450154,1032515.450152,1760462445.263037,126254.000,17546,2,EA,1,100,0.132853
1032515.517159,1032515.517157,1760462445.330043,126321.000,17546,2,EA,1,100,0.132832
1032515.583164,1032515.583162,1760462445.396048,126387.000,17561,1,EA,1,100,0.132820
1032515.650169,1032515.650167,1760462445.463053,126454.000,17577,2,EA,1,100,0.132827
1032515.717174,1032515.717172,1760462445.530058,126521.000,17577,2,EA,1,100,0.132835
1032515.783179,1032515.783177,1760462445.596063,126587.000,17594,1,EA,1,100,0.132848
1032515.850184,1032515.850182,1760462445.663068,126654.000,17611,2,EA,1,100,0.132832
1032515.917189,1032515.917187,1760462445.730073,126721.000,17611,2,EA,1,100,0.132784
1032515.983194,1032515.983192,1760462445.796078,126787.000,17628,1,EA,1,100,0.132751
1032516.050199,1032516.050197,1760462445.863084,126854.000,17644,2,EA,1,100,0.132751
1032516.117204,1032516.117202,1760462445.930089,126921.000,17644,2,EA,1,100,0.132741
1032516.183209,1032516.183207,1760462445.996094,126987.000,17660,1,EA,1,100,0.132741
1032516.250214,1032516.250212,1760462446.063099,127054.000,17677,2,EA,1,100,0.132751
1032516.317219,1032516.317217,1760462446.130104,127121.000,17677,2,EA,1,100,0.132759
1032516.383224,1032516.383222,1760462446.196110,127187.000,17692,1,EA,1,100,0.132764
1032516.450229,1032516.450227,1760462446.263115,127254.000,17709,2,EA,1,100,0.132771
1032516.517234,1032516.517232,1760462446.330120,127321.000,17709,2,EA,1,100,0.132766
1032516.583239,1032516.583237,1760462446.396125,127387.000,17724,1,EA,1,100,0.132759
1032516.650244,1032516.650242,1760462446.463130,127454.000,17740,2,EA,1,100,0.132761
1032516.717249,1032516.717247,1760462446.530135,127521.000,17740,2,EA,1,100,0.132782
1032516.783254,1032516.783252,1760462446.596140,127587.000,17754,1,EA,1,100,0.132777
1032516.850259,1032516.850257,1760462446.663146,127654.000,17776,2,EA,1,100,0.132787
1032516.917264,1032516.917262,1760462446.730151,127721.000,17776,2,EA,1,100,0.132792
1032516.983769,1032516.983767,1760462446.796656,127787.500,17791,2,EA,1,100,0.132807
1032517.050274,1032517.050272,1760462446.863161,127854.000,17791,2,EA,1,100,0.132830
1032517.117279,1032517.117277,1760462446.930166,127921.000,17807,1,EA,1,100,0.132873
1032517.183784,1032517.183782,1760462446.996671,127987.500,17822,2,EA,1,100,0.132929
1032517.250289,1032517.250287,1760462447.063176,128054.000,17822,2,EA,1,100,0.132967
1032517.317294,1032517.317292,1760462447.130182,128121.000,17838,1,EA,1,100,0.132952
1032517.383799,1032517.383796,1760462447.196687,128187.500,17853,2,EA,1,100,0.132937
1032517.450303,1032517.450301,1760462447.263192,128254.000,17853,2,EA,1,100,0.132947
1032517.517308,1032517.517306,1760462447.330197,128321.000,17872,1,EA,1,100,0.132944
1032517.583813,1032517.583811,1760462447.396702,128387.500,17886,2,EA,1,100,0.132942
1032517.650318,1032517.650316,1760462447.463207,128454.000,17886,2,EA,1,100,0.132947
1032517.717323,1032517.717321,1760462447.530212,128521.000,17903,1,EA,1,100,0.132967
1032517.783828,1032517.783826,1760462447.596718,128587.500,17919,2,EA,1,100,0.132965
1032517.850333,1032517.850331,1760462447.663223,128654.000,17919,2,EA,1,100,0.132975
1032517.916338,1032517.916336,1760462447.729228,128720.000,17935,1,EA,1,100,0.133000
1032517.983343,1032517.983341,1760462447.796233,128787.000,17954,2,EA,1,100,0.133003
1032518.050348,1032518.050346,1760462447.863238,128854.000,17954,2,EA,1,100,0.132990
1032518.116353,1032518.116351,1760462447.929243,128920.000,17969,1,EA,1,100,0.132980
1032518.183358,1032518.183356,1760462447.996248,128987.000,17987,2,EA,1,100,0.132954
1032518.250363,1032518.250361,1760462448.063254,129054.000,17987,2,EA,1,100,0.132932
1032518.316868,1032518.316866,1760462448.129759,129120.500,18003,2,EA,1,100,0.132929
1032518.383373,1032518.383371,1760462448.196264,129187.000,18003,2,EA,1,100,0.132911
1032518.450378,1032518.450376,1760462448.263269,129254.000,18018,1,EA,1,100,0.132873
1032518.516883,1032518.516881,1760462448.329774,129320.500,18036,2,EA,1,100,0.132815
1032518.583388,1032518.583386,1760462448.396279,129387.000,18036,2,EA,1,100,0.132769
1032518.650393,1032518.650391,1760462448.463284,129454.000,18051,1,EA,1,100,0.132759
1032518.716898,1032518.716896,1760462448.529790,129520.500,18067,2,EA,1,100,0.132731
1032518.783403,1032518.783401,1760462448.596295,129587.000,18067,2,EA,1,100,0.132713
1032518.850408,1032518.850406,1760462448.663300,129654.000,18083,1,EA,1,100,0.132713
1032518.916913,1032518.916911,1760462448.729805,129720.500,18098,2,EA,1,100,0.132716
1032518.983418,1032518.983416,1760462448.796310,129787.000,18098,2,EA,1,100,0.132721
1032519.050423,1032519.050421,1760462448.863315,129854.000,18113,1,EA,1,100,0.132693
1032519.116928,1032519.116926,1760462448.929821,129920.500,18132,2,EA,1,100,0.132675
1032519.183433,1032519.183431,1760462448.996326,129987.000,18132,2,EA,1,100,0.132680
1032519.250438,1032519.250436,1760462449.063331,130054.000,18147,1,EA,1,100,0.132705
1032519.316943,1032519.316941,1760462449.129836,130120.500,18162,2,EA,1,100,0.132708
1032519.383448,1032519.383446,1760462449.196341,130187.000,18162,2,EA,1,100,0.132690
1032519.450453,1032519.450451,1760462449.263346,130254.000,18177,1,EA,1,100,0.132700
1032519.516958,1032519.516956,1760462449.329851,130320.500,18194,2,EA,1,100,0.132690
1032519.583463,1032519.583461,1760462449.396357,130387.000,18194,2,EA,1,100,0.132678
1032519.650468,1032519.650466,1760462449.463362,130454.000,18209,1,EA,1,100,0.132645
1032519.716973,1032519.716971,1760462449.529867,130520.500,18226,2,EA,1,100,0.132604
1032519.783478,1032519.783476,1760462449.596372,130587.000,18226,2,EA,1,100,0.132579
1032519.850483,1032519.850481,1760462449.663377,130654.000,18242,1,EA,1,100,0.132564
1032519.916988,1032519.916986,1760462449.729882,130720.500,18258,2,EA,1,100,0.132556
1032519.983493,1032519.983491,1760462449.796387,130787.000,18258,2,EA,1,100,0.132556
1032520.050498,1032520.050496,1760462449.863393,130854.000,18273,1,EA,1,100,0.132546
1032520.117003,1032520.117001,1760462449.929898,130920.500,18289,2,EA,1,100,0.132531
1032520.183508,1032520.183506,1760462449.996403,130987.000,18289,2,EA,1,100,0.132528
1032520.250513,1032520.250511,1760462450.063408,131054.000,18306,1,EA,1,100,0.132518
1032520.317018,1032520.317016,1760462450.129913,131120.500,18322,2,EA,1,100,0.132500
1032520.383523,1032520.383521,1760462450.196418,131187.000,18322,2,EA,1,100,0.132488
1032520.450528,1032520.450526,1760462450.263423,131254.000,18337,1,EA,1,100,0.132470
1032520.517033,1032520.517031,1760462450.329929,131320.500,18354,2,EA,1,100,0.132452
1032520.583538,1032520.583536,1760462450.396434,131387.000,18354,2,EA,1,100,0.132430
1032520.649543,1032520.649541,1760462450.462439,131453.000,18368,1,EA,1,100,0.132422
1032520.716548,1032520.716546,1760462450.529444,131520.000,18384,2,EA,1,100,0.132440
1032520.783553,1032520.783551,1760462450.596449,131587.000,18384,2,EA,1,100,0.132447
1032520.850058,1032520.850056,1760462450.662954,131653.500,18402,2,EA,1,100,0.132457
1032520.916563,1032520.916561,1760462450.729460,131720.000,18402,2,EA,1,100,0.132462
1032520.983568,1032520.983566,1760462450.796465,131787.000,18418,1,EA,1,100,0.132455
1032521.050073,1032521.050071,1760462450.862970,131853.500,18432,2,EA,1,100,0.132437
1032521.116578,1032521.116576,1760462450.929475,131920.000,18432,2,EA,1,100,0.132412
1032521.183583,1032521.183581,1760462450.996480,131987.000,18449,1,EA,1,100,0.132417
1032521.250088,1032521.250086,1760462451.062985,132053.500,18464,2,EA,1,100,0.132402
1032521.316593,1032521.316591,1760462451.129490,132120.000,18464,2,EA,1,100,0.132377
1032521.383598,1032521.383596,1760462451.196496,132187.000,18482,1,EA,1,100,0.132339
1032521.450103,1032521.450101,1760462451.263001,132253.500,18497,2,EA,1,100,0.132321
1032521.516608,1032521.516606,1760462451.329506,132320.000,18497,2,EA,1,100,0.132321
1032521.583613,1032521.583611,1760462451.396511,132387.000,18513,1,EA,1,100,0.132321
1032521.650118,1032521.650115,1760462451.463016,132453.500,18528,2,EA,1,100,0.132326
1032521.716623,1032521.716620,1760462451.529521,132520.000,18528,2,EA,1,100,0.132314
1032521.783628,1032521.783625,1760462451.596526,132587.000,18544,1,EA,1,100,0.132321
1032521.850133,1032521.850130,1760462451.663032,132653.500,18559,2,EA,1,100,0.132319
1032521.916637,1032521.916635,1760462451.729537,132720.000,18559,2,EA,1,100,0.132296
1032521.983642,1032521.983640,1760462451.796542,132787.000,18577,1,EA,1,100,0.132291
1032522.050147,1032522.050145,1760462451.863047,132853.500,18592,2,EA,1,100,0.132286
1032522.116652,1032522.116650,1760462451.929552,132920.000,18592,2,EA,1,100,0.132283
1032522.183657,1032522.183655,1760462451.996557,132987.000,18609,1,EA,1,100,0.132278
1032522.250162,1032522.250160,1760462452.063062,133053.500,18623,2,EA,1,100,0.132263
1032522.316667,1032522.316665,1760462452.129568,133120.000,18623,2,EA,1,100,0.132258
1032522.383672,1032522.383670,1760462452.196573,133187.000,18639,1,EA,1,100,0.132273
1032522.450177,1032522.450175,1760462452.263078,133253.500,18657,2,EA,1,100,0.132266
1032522.516682,1032522.516680,1760462452.329583,133320.000,18657,2,EA,1,100,0.132213
1032522.583687,1032522.583685,1760462452.396588,133387.000,18673,1,EA,1,100,0.132167
1032522.650192,1032522.650190,1760462452.463093,133453.500,18687,2,EA,1,100,0.132117
