LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,PG
1032504.561703,1032504.561701,1760462434.374560,115366.364,15811,11,PG,1,100,7486
1032504.571340,1032504.571338,1760462434.384197,115376.000,15811,11,PG,1,100,7496
1032504.581786,1032504.581784,1760462434.394643,115386.444,15826,9,PG,1,100,7521
1032504.592231,1032504.592229,1760462434.405088,115396.889,15826,9,PG,1,100,7501
1032504.602676,1032504.602674,1760462434.415533,115407.333,15826,9,PG,1,100,7521
1032504.613121,1032504.613119,1760462434.425978,115417.778,15826,9,PG,1,100,7493
1032504.623566,1032504.623565,1760462434.436424,115428.222,15826,9,PG,1,100,7494
1032504.634012,1032504.634010,1760462434.446869,115438.667,15826,9,PG,1,100,7495
1032504.644457,1032504.644455,1760462434.457314,115449.111,15826,9,PG,1,100,7512
1032504.654902,1032504.654900,1760462434.467759,115459.556,15826,9,PG,1,100,7508
1032504.665347,1032504.665346,1760462434.478205,115470.000,15826,9,PG,1,100,7501
1032504.674984,1032504.674983,1760462434.487842,115479.636,15842,11,PG,1,100,7522
1032504.684622,1032504.684620,1760462434.497479,115489.273,15842,11,PG,1,100,7529
1032504.694259,1032504.694257,1760462434.507116,115498.909,15842,11,PG,1,100,7523
1032504.703896,1032504.703894,1760462434.516753,115508.545,15842,11,PG,1,100,7532
1032504.713533,1032504.713531,1760462434.526390,115518.182,15842,11,PG,1,100,7517
1032504.723170,1032504.723168,1760462434.536027,115527.818,15842,11,PG,1,100,7512
1032504.732807,1032504.732805,1760462434.545664,115537.455,15842,11,PG,1,100,7517
1032504.742444,1032504.742442,1760462434.555301,115547.091,15842,11,PG,1,100,7505
1032504.752081,1032504.752079,1760462434.564939,115556.727,15842,11,PG,1,100,7485
1032504.761718,1032504.761716,1760462434.574576,115566.364,15842,11,PG,1,100,7485
1032504.771355,1032504.771353,1760462434.584213,115576.000,15842,11,PG,1,100,7498
1032504.781083,1032504.781081,1760462434.593941,115585.727,15857,11,PG,1,100,7484
1032504.790811,1032504.790809,1760462434.603669,115595.455,15857,11,PG,1,100,7487
1032504.800539,1032504.800537,1760462434.613397,115605.182,15857,11,PG,1,100,7454
1032504.810267,1032504.810265,1760462434.623125,115614.909,15857,11,PG,1,100,7456
1032504.819995,1032504.819993,1760462434.632853,115624.636,15857,11,PG,1,100,7446
1032504.829723,1032504.829721,1760462434.642581,115634.364,15857,11,PG,1,100,7442
1032504.839451,1032504.839449,1760462434.652309,115644.091,15857,11,PG,1,100,7486
1032504.849179,1032504.849177,1760462434.662037,115653.818,15857,11,PG,1,100,7462
1032504.858907,1032504.858905,1760462434.671765,115663.545,15857,11,PG,1,100,7447
1032504.868635,1032504.868633,1760462434.681493,115673.273,15857,11,PG,1,100,7430
1032504.878363,1032504.878361,1760462434.691221,115683.000,15857,11,PG,1,100,7430
1032504.888697,1032504.888696,1760462434.701555,115693.333,15873,9,PG,1,100,7440
1032504.899032,1032504.899030,1760462434.711889,115703.667,15873,9,PG,1,100,7465
1032504.909366,1032504.909364,1760462434.722224,115714.000,15873,9,PG,1,100,7466
1032504.919700,1032504.919698,1760462434.732558,115724.333,15873,9,PG,1,100,7478
1032504.930034,1032504.930032,1760462434.742892,115734.667,15873,9,PG,1,100,7437
1032504.940368,1032504.940366,1760462434.753226,115745.000,15873,9,PG,1,100,7461
1032504.950702,1032504.950700,1760462434.763560,115755.333,15873,9,PG,1,100,7446
1032504.961036,1032504.961034,1760462434.773894,115765.667,15873,9,PG,1,100,7462
1032504.971370,1032504.971368,1760462434.784228,115776.000,15873,9,PG,1,100,7447
1032504.982071,1032504.982069,1760462434.794929,115786.700,15888,10,PG,1,100,7466
1032504.992772,1032504.992770,1760462434.805630,115797.400,15888,10,PG,1,100,7458
1032505.003473,1032505.003471,1760462434.816331,115808.100,15888,10,PG,1,100,7492
1032505.014173,1032505.014172,1760462434.827032,115818.800,15888,10,PG,1,100,7441
1032505.024874,1032505.024872,1760462434.837732,115829.500,15888,10,PG,1,100,7462
1032505.035575,1032505.035573,1760462434.848433,115840.200,15888,10,PG,1,100,7477
1032505.046276,1032505.046274,1760462434.859134,115850.900,15888,10,PG,1,100,7446
1032505.056977,1032505.056975,1760462434.869835,115861.600,15888,10,PG,1,100,7495
1032505.067677,1032505.067676,1760462434.880536,115872.300,15888,10,PG,1,100,7463
1032505.078378,1032505.078376,1760462434.891237,115883.000,15888,10,PG,1,100,7443
1032505.088106,1032505.088104,1760462434.900964,115892.727,15907,11,PG,1,100,7460
1032505.097834,1032505.097832,1760462434.910692,115902.455,15907,11,PG,1,100,7500
1032505.107562,1032505.107560,1760462434.920421,115912.182,15907,11,PG,1,100,7477
1032505.117290,1032505.117288,1760462434.930149,115921.909,15907,11,PG,1,100,7509
1032505.127018,1032505.127016,1760462434.939877,115931.636,15907,11,PG,1,100,7491
1032505.136746,1032505.136744,1760462434.949605,115941.364,15907,11,PG,1,100,7470
1032505.146474,1032505.146472,1760462434.959333,115951.091,15907,11,PG,1,100,7485
1032505.156202,1032505.156200,1760462434.969061,115960.818,15907,11,PG,1,100,7477
1032505.165930,1032505.165928,1760462434.978789,115970.545,15907,11,PG,1,100,7505
1032505.175658,1032505.175656,1760462434.988517,115980.273,15907,11,PG,1,100,7468
1032505.185386,1032505.185384,1760462434.998245,115990.000,15907,11,PG,1,100,7491
1032505.195720,1032505.195719,1760462435.008579,116000.333,15922,9,PG,1,100,7477
1032505.206054,1032505.206053,1760462435.018913,116010.667,15922,9,PG,1,100,7520
1032505.216389,1032505.216387,1760462435.029247,116021.000,15922,9,PG,1,100,7480
1032505.226723,1032505.226721,1760462435.039581,116031.333,15922,9,PG,1,100,7498
1032505.237057,1032505.237055,1760462435.049916,116041.667,15922,9,PG,1,100,7515
1032505.247391,1032505.247389,1760462435.060250,116052.000,15922,9,PG,1,100,7509
