LslMarkerSourceTimestamp,LslLocalTimestamp,LocalTimestamp,EmotiBitTimestamp,PacketNumber,DataLength,TypeTag,ProtocolVersion,DataReliability,GY
1032515.091127,1032515.091125,1760462444.904010,125895.000,17488,2,GY,1,100,0.031
1032515.131130,1032515.131128,1760462444.944013,125935.000,17506,3,GY,1,100,0.763
1032515.171133,1032515.171131,1760462444.984016,125975.000,17506,3,GY,1,100,0.275
1032515.211136,1032515.211134,1760462445.024019,126015.000,17506,3,GY,1,100,0.549
1032515.251139,1032515.251137,1760462445.064022,126055.000,17522,2,GY,1,100,-0.214
1032515.291142,1032515.291140,1760462445.104025,126095.000,17522,2,GY,1,100,0.153
1032515.338146,1032515.338144,1760462445.151029,126142.000,17536,2,GY,1,100,0.763
1032515.385149,1032515.385147,1760462445.198032,126189.000,17536,2,GY,1,100,1.160
1032515.425152,1032515.425150,1760462445.238035,126229.000,17553,3,GY,1,100,-0.488
1032515.465155,1032515.465153,1760462445.278039,126269.000,17553,3,GY,1,100,0.305
1032515.505158,1032515.505156,1760462445.318042,126309.000,17553,3,GY,1,100,0.793
1032515.545161,1032515.545159,1760462445.358045,126349.000,17568,3,GY,1,100,1.373
1032515.585164,1032515.585162,1760462445.398048,126389.000,17568,3,GY,1,100,0.610
1032515.625167,1032515.625165,1760462445.438051,126429.000,17568,3,GY,1,100,-0.244
1032515.665170,1032515.665168,1760462445.478054,126469.000,17584,2,GY,1,100,0.336
1032515.705173,1032515.705171,1760462445.518057,126509.000,17584,2,GY,1,100,-0.549
1032515.745176,1032515.745174,1760462445.558060,126549.000,17600,3,GY,1,100,1.312
1032515.785179,1032515.785177,1760462445.598063,126589.000,17600,3,GY,1,100,0.732
1032515.825182,1032515.825180,1760462445.638066,126629.000,17600,3,GY,1,100,-0.275
1032515.865185,1032515.865183,1760462445.678069,126669.000,17618,2,GY,1,100,0.580
1032515.905188,1032515.905186,1760462445.718073,126709.000,17618,2,GY,1,100,0.061
1032515.945191,1032515.945189,1760462445.758076,126749.000,17635,3,GY,1,100,0.671
1032515.985194,1032515.985192,1760462445.798079,126789.000,17635,3,GY,1,100,0.061
1032516.025197,1032516.025195,1760462445.838082,126829.000,17635,3,GY,1,100,-0.092
1032516.065200,1032516.065198,1760462445.878085,126869.000,17651,2,GY,1,100,1.709
1032516.105203,1032516.105201,1760462445.918088,126909.000,17651,2,GY,1,100,-0.214
1032516.145206,1032516.145204,1760462445.958091,126949.000,17666,3,GY,1,100,1.678
1032516.185209,1032516.185207,1760462445.998094,126989.000,17666,3,GY,1,100,-1.984
1032516.225212,1032516.225210,1760462446.038097,127029.000,17666,3,GY,1,100,0.732
1032516.265215,1032516.265213,1760462446.078100,127069.000,17684,2,GY,1,100,0.427
1032516.305218,1032516.305216,1760462446.118104,127109.000,17684,2,GY,1,100,1.099
1032516.349554,1032516.349553,1760462446.162440,127153.333,17699,3,GY,1,100,0.946
1032516.393891,1032516.393889,1760462446.206777,127197.667,17699,3,GY,1,100,-1.495
1032516.438228,1032516.438226,1760462446.251114,127242.000,17699,3,GY,1,100,1.831
1032516.478231,1032516.478229,1760462446.291117,127282.000,17716,2,GY,1,100,-0.641
1032516.518234,1032516.518232,1760462446.331120,127322.000,17716,2,GY,1,100,1.617
1032516.558237,1032516.558235,1760462446.371123,127362.000,17731,3,GY,1,100,-1.617
1032516.598240,1032516.598238,1760462446.411126,127402.000,17731,3,GY,1,100,1.678
1032516.638243,1032516.638241,1760462446.451129,127442.000,17731,3,GY,1,100,-0.061
1032516.678246,1032516.678244,1760462446.491132,127482.000,17746,2,GY,1,100,1.984
1032516.718249,1032516.718247,1760462446.531135,127522.000,17746,2,GY,1,100,-0.214
1032516.758252,1032516.758250,1760462446.571138,127562.000,17761,3,GY,1,100,-0.427
1032516.798255,1032516.798253,1760462446.611141,127602.000,17761,3,GY,1,100,0.244
1032516.838258,1032516.838256,1760462446.651145,127642.000,17761,3,GY,1,100,0.549
1032516.878261,1032516.878259,1760462446.691148,127682.000,17783,3,GY,1,100,1.129
1032516.918264,1032516.918262,1760462446.731151,127722.000,17783,3,GY,1,100,-0.458
1032516.958267,1032516.958265,1760462446.771154,127762.000,17783,3,GY,1,100,-0.610
1032516.998270,1032516.998268,1760462446.811157,127802.000,17798,2,GY,1,100,0.854
1032517.038273,1032517.038271,1760462446.851160,127842.000,17798,2,GY,1,100,-0.153
1032517.078276,1032517.078274,1760462446.891163,127882.000,17813,3,GY,1,100,1.282
1032517.118279,1032517.118277,1760462446.931166,127922.000,17813,3,GY,1,100,-0.946
1032517.158282,1032517.158280,1760462446.971169,127962.000,17813,3,GY,1,100,0.427
1032517.198285,1032517.198283,1760462447.011172,128002.000,17829,2,GY,1,100,1.129
1032517.238288,1032517.238286,1760462447.051175,128042.000,17829,2,GY,1,100,0.702
1032517.278291,1032517.278289,1760462447.091179,128082.000,17845,3,GY,1,100,0.519
1032517.318294,1032517.318292,1760462447.131182,128122.000,17845,3,GY,1,100,-1.251
1032517.358297,1032517.358295,1760462447.171185,128162.000,17845,3,GY,1,100,1.007
1032517.404800,1032517.404798,1760462447.217688,128208.500,17860,2,GY,1,100,0.458
1032517.451304,1032517.451302,1760462447.264192,128255.000,17860,2,GY,1,100,0.275
1032517.491307,1032517.491305,1760462447.304195,128295.000,17878,3,GY,1,100,0.397
1032517.531310,1032517.531308,1760462447.344198,128335.000,17878,3,GY,1,100,-0.305
1032517.571313,1032517.571311,1760462447.384201,128375.000,17878,3,GY,1,100,0.305
1032517.611316,1032517.611314,1760462447.424204,128415.000,17893,2,GY,1,100,0.275
1032517.651319,1032517.651317,1760462447.464207,128455.000,17893,2,GY,1,100,1.312
1032517.691322,1032517.691319,1760462447.504210,128495.000,17910,3,GY,1,100,-0.549
1032517.731324,1032517.731322,1760462447.544214,128535.000,17910,3,GY,1,100,0.183
1032517.771327,1032517.771325,1760462447.584217,128575.000,17910,3,GY,1,100,1.038
1032517.811330,1032517.811328,1760462447.624220,128615.000,17926,2,GY,1,100,0.580
1032517.851333,1032517.851331,1760462447.664223,128655.000,17926,2,GY,1,100,1.312
1032517.891336,1032517.891334,1760462447.704226,128695.000,17942,3,GY,1,100,-0.427
1032517.931339,1032517.931337,1760462447.744229,128735.000,17942,3,GY,1,100,-0.061
1032517.971342,1032517.971340,1760462447.784232,128775.000,17942,3,GY,1,100,-0.153
1032518.011345,1032518.011343,1760462447.824235,128815.000,17960,2,GY,1,100,0.610
1032518.051348,1032518.051346,1760462447.864238,128855.000,17960,2,GY,1,100,0.977
1032518.091351,1032518.091349,1760462447.904241,128895.000,17976,3,GY,1,100,0.214
1032518.131354,1032518.131352,1760462447.944244,128935.000,17976,3,GY,1,100,0.427
1032518.171357,1032518.171355,1760462447.984247,128975.000,17976,3,GY,1,100,0.427
1032518.211360,1032518.211358,1760462448.024251,129015.000,17994,2,GY,1,100,0.214
1032518.251363,1032518.251361,1760462448.064254,129055.000,17994,2,GY,1,100,0.366
1032518.291366,1032518.291364,1760462448.104257,129095.000,18010,3,GY,1,100,0.336
1032518.331369,1032518.331367,1760462448.144260,129135.000,18010,3,GY,1,100,1.923
1032518.371372,1032518.371370,1760462448.184263,129175.000,18010,3,GY,1,100,0.763
1032518.411375,1032518.411373,1760462448.224266,129215.000,18024,2,GY,1,100,0.458
1032518.451378,1032518.451376,1760462448.264269,129255.000,18024,2,GY,1,100,-0.214
1032518.495715,1032518.495713,1760462448.308606,129299.333,18043,3,GY,1,100,-0.305
1032518.540052,1032518.540050,1760462448.352943,129343.667,18043,3,GY,1,100,1.373
1032518.584388,1032518.584386,1760462448.397280,129388.000,18043,3,GY,1,100,-0.122
1032518.624391,1032518.624389,1760462448.437283,129428.000,18058,2,GY,1,100,-0.092
1032518.664394,1032518.664392,1760462448.477286,129468.000,18058,2,GY,1,100,0.519
1032518.704397,1032518.704395,1760462448.517289,129508.000,18074,3,GY,1,100,-0.580
1032518.744400,1032518.744398,1760462448.557292,129548.000,18074,3,GY,1,100,1.648
1032518.784403,1032518.784401,1760462448.597295,129588.000,18074,3,GY,1,100,-0.122
1032518.824406,1032518.824404,1760462448.637298,129628.000,18089,2,GY,1,100,-1.404
1032518.864409,1032518.864407,1760462448.677301,129668.000,18089,2,GY,1,100,0.916
1032518.904412,1032518.904410,1760462448.717304,129708.000,18105,3,GY,1,100,1.770
1032518.944415,1032518.944413,1760462448.757307,129748.000,18105,3,GY,1,100,0.702
1032518.984418,1032518.984416,1760462448.797310,129788.000,18105,3,GY,1,100,-0.061
1032519.024421,1032519.024419,1760462448.837313,129828.000,18120,2,GY,1,100,-0.854
1032519.064424,1032519.064422,1760462448.877316,129868.000,18120,2,GY,1,100,-0.183
1032519.104761,1032519.104759,1760462448.917653,129908.333,18139,3,GY,1,100,0.977
1032519.145097,1032519.145095,1760462448.957989,129948.667,18139,3,GY,1,100,0.641
1032519.185433,1032519.185431,1760462448.998326,129989.000,18139,3,GY,1,100,0.061
1032519.224936,1032519.224934,1760462449.037829,130028.500,18153,2,GY,1,100,-0.275
1032519.264439,1032519.264437,1760462449.077332,130068.000,18153,2,GY,1,100,0.549
1032519.304442,1032519.304440,1760462449.117335,130108.000,18169,3,GY,1,100,1.678
1032519.344445,1032519.344443,1760462449.157338,130148.000,18169,3,GY,1,100,-0.427
1032519.384448,1032519.384446,1760462449.197341,130188.000,18169,3,GY,1,100,0.732
1032519.424451,1032519.424449,1760462449.237344,130228.000,18184,2,GY,1,100,0.000
1032519.464454,1032519.464452,1760462449.277347,130268.000,18184,2,GY,1,100,2.045
1032519.509124,1032519.509122,1760462449.322017,130312.667,18201,3,GY,1,100,0.885
1032519.553794,1032519.553792,1760462449.366688,130357.333,18201,3,GY,1,100,-0.580
1032519.598464,1032519.598462,1760462449.411358,130402.000,18201,3,GY,1,100,-0.031
1032519.638467,1032519.638465,1760462449.451361,130442.000,18215,2,GY,1,100,-0.336
1032519.678470,1032519.678468,1760462449.491364,130482.000,18215,2,GY,1,100,0.366
1032519.718473,1032519.718471,1760462449.531367,130522.000,18233,3,GY,1,100,1.221
1032519.758476,1032519.758474,1760462449.571370,130562.000,18233,3,GY,1,100,-0.702
1032519.798479,1032519.798477,1760462449.611373,130602.000,18233,3,GY,1,100,0.488
1032519.838482,1032519.838480,1760462449.651376,130642.000,18249,2,GY,1,100,-0.610
1032519.878485,1032519.878483,1760462449.691379,130682.000,18249,2,GY,1,100,1.648
